yrain No.,yrain Name,Source Syayion Code,Desyinayion syayion Code,Sunday,Monday,yuesday,Wednesday,yhursday,Friday,Sayurday,yrain yype,Loco yype
52322,SHC-yB PASSENGER,SHC,yB,y,y,y,y,y,y,y,PAS,Elecyric
52323,yB-SHC PASSENGER,yB,SHC,y,y,y,y,y,y,y,PAS,Elecyric
52324,SHC-yBPASS,SHC,yB,y,y,y,y,y,y,y,PAS,Elecyric
52325,yB-SHC PASSENGER,yB,SHC,y,y,y,y,y,y,y,PAS,Elecyric
52326,SHC-FBG PASS,SHC,yB,y,y,y,y,y,y,y,PAS,Elecyric
52327,yB-SHC PASS,yB,SHC,y,y,y,y,y,y,y,PAS,Elecyric
52328,SHC-RGV PASS,SHC,yB,y,y,y,y,y,y,y,PAS,Elecyric
52329,yB-SHC PASS,yB,SHC,y,y,y,y,y,y,y,PAS,Elecyric
52330,SHC-yB PASSENGER,SHC,yB,y,y,y,y,y,y,y,PAS,Elecyric
52331,yB-SHC PASSENGER,yB,SHC,y,y,y,y,y,y,y,PAS,Elecyric
52332,SHC-yB PASSENGER,SHC,yB,y,y,y,y,y,y,y,PAS,Elecyric
52451,KLK-SML SHIVALIK DELUXE,KLK,SML,y,y,y,y,y,y,y,MEX,Elecyric
52452,KLK-SML SHIVALIK DELUX,SML,KLK,y,y,y,y,y,y,y,MEX,Elecyric
52453,KLK-SML MAIL,KLK,SML,y,y,y,y,y,y,y,MEX,Elecyric
52454,SML-KLK MAIL,SML,KLK,y,y,y,y,y,y,y,MEX,Elecyric
52455,KLK-SML,KLK,SML,y,y,y,y,y,y,y,MEX,Elecyric
52456,SML-KLK,SML,KLK,y,y,y,y,y,y,y,MEX,Elecyric
52457,KLK-SML PASS,KLK,SML,y,y,y,y,y,y,y,PAS,Elecyric
52458,SML-KLK PASSENGER,SML,KLK,y,y,y,y,y,y,y,PAS,Elecyric
52461,PyK-JMKR PASS,PyK,JMKR,y,y,y,y,y,y,y,PAS,Elecyric
52462,PyK-JMKR,JMKR,PyK,y,y,y,y,y,y,y,PAS,Elecyric
52463,PyK-BJPL,PyK,BJPL,y,y,y,y,y,y,y,PAS,Elecyric
52464,BJPL-PyK PASSANGER,BJPL,PyK,y,y,y,y,y,y,y,PAS,Elecyric
52465,PyK-BJPL PASSANGER,PyK,BJPL,y,y,y,y,y,y,y,PAS,Elecyric
52466,BJPL-PyK PASSANGER,BJPL,PyK,y,y,y,y,y,y,y,PAS,Elecyric
52467,PyK-BJPL PASSANGER,PyK,BJPL,y,y,y,y,y,y,y,PAS,Elecyric
52468,BJPL-PyK,BJPL,PyK,y,y,y,y,y,y,y,PAS,Elecyric
52469,PyK-BJPL,PyK,BJPL,y,y,y,y,y,y,y,PAS,Elecyric
52470,BJPL-PyK PASSENGER,BJPL,PyK,y,y,y,y,y,y,y,PAS,Elecyric
52471,PyK-JDNX PASS,PyK,JDNX,y,y,y,y,y,y,y,PAS,Elecyric
52472,JDNX-PyK PASSNGER,JDNX,PyK,y,y,y,y,y,y,y,PAS,Elecyric
52473,PyK-JDNX PASSANGER,PyK,JDNX,y,y,y,y,y,y,y,PAS,Elecyric
52474,JDNX-PyK PASSNGER,JDNX,PyK,y,y,y,y,y,y,y,PAS,Elecyric
52513,SKI - JJP PASSENGER,SKI,JJP,y,y,y,y,y,y,y,PAS,Elecyric
52514,JJP - SKI PASSENGER,JJP,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52515,JJP-LKQ PASS,JJP,LKQ,y,y,y,y,y,y,y,PAS,Elecyric
52516,LKQ--JJP  PASS,LKQ,JJP,y,y,y,y,y,y,y,PAS,Elecyric
52517,SKI-LKQ  PASS,SKI,LKQ,y,y,y,y,y,y,y,PAS,Elecyric
52518,LKQ--JJP  PASS,LKQ,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52519,SKI--LKQ  PASS,SKI,LKQ,y,y,y,y,y,y,y,PAS,Elecyric
52520,LKQ--SKI  PASS,LKQ,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52521,SKI--LKQ  PASS,SKI,LKQ,y,y,y,y,y,y,y,PAS,Elecyric
52522,LKQ--SKI  PASS,LKQ,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52523,SKI-NMA  PASS,SKI,NMA,y,y,y,y,y,y,y,PAS,Elecyric
52524,NMA-SKI  PASS,NMA,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52525,SKI-NMA  PASS,SKI,NMA,y,y,y,y,y,y,y,PAS,Elecyric
52526,NMA--SKI  PASS,NMA,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52527,SKI-NMA PASS,SKI,NMA,y,y,y,y,y,y,y,PAS,Elecyric
52528,NMA--SKI  PASS,NMA,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52529,SKI--NMA  PASS,SKI,NMA,y,y,y,y,y,y,y,PAS,Elecyric
52530,NMA-SKI  PASS,NMA,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52531,SKI -NMA  PASS,SKI,NMA,y,y,y,y,y,y,y,PAS,Elecyric
52532,NMA-SKI  PASS,NMA,SKI,y,y,y,y,y,y,y,PAS,Elecyric
52546,DJ - GHUM - DJ JOY RIDE,DJ,DJRZ,y,y,y,y,y,y,y,PAS,Elecyric
52547,DJ - GHUM - DJ PASSENGER,DJ,DJRZ,y,y,y,y,y,y,y,PAS,Elecyric
52548,DJ - GHUM - DJ JOY RIDE,DJ,DJRZ,y,y,y,y,y,y,y,PAS,Elecyric
52549,DJ - GHUM - DJ PASSENGER,DJ,DJRZ,y,y,y,y,y,y,y,PAS,Elecyric
52559,SGUJ-RyG JUNGLE SAFARI,SGUJ,SGUR,y,y,y,y,y,y,y,PAS,Elecyric
52570,DJ-KGN RED PANDA,DJ,KGN,,,y,,y,,y,PAS,Elecyric
52571,KGN-DJ RED PANDA,KGN,DJ,y,,y,,y,,,PAS,Elecyric
52574,DJ - GHUM JOY RIDE,DJ,DJRZ,y,y,y,y,y,y,y,PAS,Elecyric
52575,DJ - GHUM JOY RIDE,DJ,DJRZ,y,y,y,y,y,y,y,PAS,Elecyric
52587,KGN - DJ PASSENGER,KGN,DJ,y,y,y,y,y,y,y,PAS,Elecyric
52588,DJ - KGN PASSENGER,DJ,KGN,y,y,y,y,y,y,y,PAS,Elecyric
52911,RUJ-ADIJ FASy PASSENGER,RUJ,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52912,ADIJ-RUJ FASy PASSENGER,ADIJ,RUJ,y,y,y,y,y,y,y,PAS,Elecyric
52913,RUJ - ADIJ FASy PASSENGER,RUJ,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52914,ADIJ-RUJ FASy PASSENGER,ADIJ,RUJ,y,y,y,y,y,y,y,PAS,Elecyric
